 Any trouble?, No., L413415, L413414,m147
" He was a cool one, that Harper. Never broke.", He carried on some, L413417, L413416,m147
 He never told about the money., No., L413419, L413418,m147
 What do you figure he done with it?, He took the secret with him when I dropped him., L413421, L413420,m147
" Ben, I'm a Man of God.", Tryin' to make me talk about it in my sleep!, L413391, L413390,m147
" No, Ben.", What'd I say?  What? What? What? What?, L413393, L413392,m147
" You was quotin' Scripture. You said -- you said, ""And a little child shall lead them.""", Hm!, L413395, L413394,m147
" You killed two men, Ben Harper."," That's right, Preacher. I robbed that bank because I got tired of seein' children roamin' the woodlands without food, children roamin' the highways in this year of Depression", L413397, L413396,m147
 With that ten thousand dollars I could build a Tabernacle that'd make the Wheeling Island Tabernacle look like a chicken-house!," Would you have free candy for the kids, Preacher?", L413399, L413398,m147
" Think of it, Ben! With that cursed, bloodied gold!"," How come you got that stickknife hid in your bed-blankets, Preacher?", L413401, L413400,m147
 I come not with Peace but with a Sword.," You, Preacher?", L413403, L413402,m147
" That Sword has served me through many an evil time, Ben Harper."," What religion do you profess, Preacher?", L413405, L413404,m147
 The religion the Almighty and me worked out betwixt us., I'll bet., L413407, L413406,m147
" Salvation is a last-minute business, boy."," Keep talkin', Preacher.", L413409, L413408,m147
" If you was to let that money serve the Lord's purposes, He might feel kindly turned towards you."," Keep talkin', Preacher.", L413411, L413410,m147
 Where's your Mom?," Out shopping -- you're bleeding, Dad --", L413357, L413356,m147
 Here they come.," Dad, you're bleeding...", L413364, L413363,m147
" Listen to me son. You got to swear. Swear means promise. First swear you'll take care of little Pearl. Guard her with your life, boy. Then swear you won't never tell where that money's hid. Not even your Mom."," Yes, Dad.", L413366, L413365,m147
 You understand?, Not even her?, L413368, L413367,m147
" You got common sense. She ain't. When you grow up that money'll be yours. Now swear. ""I will guard Pearl with my life...""", I will guard Pearl with my life..., L413370, L413369,m147
" ...""and I won't never tell about the money.""", And I won't never tell about the money., L413372, L413371,m147
" She don't put in at Cresap's Landing no more, but she still blows as she passes. Come on in and have a cup of coffee.", Ain't nobody stole Dad's skiff., L413459, L413458,m147
" Ain't seen you in a coon's age, Johnny.", I been mindin' Pearl., L413463, L413462,m147
" 'Twas down at Cresap's Landing, Along the River Shore, Birdie Steptoe was a Pilot in the good old days of yore. Now he sets in his old wharf-boat...", When'll Dad's skiff be ready?, L413544, L413543,m147
" Can't hear ye, boy.  ...So the big boats heave a sigh, They blow for Uncle Birdie...", When'll the skiff be ready?, L413546, L413545,m147
" O, she's all right.", How's your sister Pearl?, L413549, L413548,m147
" Leavin', boy?", Yep, L413552, L413551,m147
" Here's your can o' hooks, Uncle Birdie.", There hain't nary hook in the land smart enough to hook Mister Gar. What a feller needs is mother-wit -- and a horse-hair., L413653, L413652,m147
" Won't he bust it, Uncle Birdie?"," Shoot, a horse-hair'll hold a lumpin' whale.", L413655, L413654,m147
" Do you mind me cussin', boy?", No., L413657, L413656,m147
" Can we eat him, Uncle Birdie?", If you got an appetite for bones and bitterness., L413663, L413662,m147
 Uncle Birdie!, Don't!, L413898, L413897,m147
" Here's what you owe me.  One, two, three, four, five... where's the other basket? Where's Ruby?", She went., L413984, L413983,m147
 I'll light the lamp., It's more fun hearin' stories in the dark., L414115, L414114,m147
" And when little King Jesus' Ma and Pa heard about that plan, what do you reckon they went and done?", They hid in a broom closet!, L414123, L414122,m147
 Where's Ruby?, She went., L414170, L414169,m147
 AAA-MENN!, You have all sinned!, L413607, L413606,m147
 Yes! Yes!, But which one of you can say as I can say: I drove a good man to murder because I kept a-houndin' him for clothes and per-fumes and face paint!, L413609, L413608,m147
 And the Lord told that man --, Yes! Yes!, L413616, L413615,m147
" The Lord said, Take that money and throw it in the River!", Yes! Yes! Hallelujah!, L413618, L413617,m147
 Throw that money in the River! In THE RIVER!, IN THE RIIV-ER!, L413620, L413619,m147
 See ye got two more peeps to your brood.," Yeah, and ornerier than the rest.", L413993, L413992,m147
" How's your own boy, Miz Cooper?"," Ain't heard from Ralph since last Christmas. Don't matter -- I've got a new crop.  I'm a strong tree with branches for many birds. I'm good for something in this old world and I know it, too! We know that she will rout the Devil.", L413995, L413994,m147
" Got a good buy in soap, Miz Cooper.", Don't need no soap. I'm boilin' down the fat from my hog., L413997, L413996,m147
 It's a mighty good man would come out of his way to bring a word of cheer to a grieving widow!, So you ain't with the State no more?, L413478, L413477,m147
