 Don't you think it kind of defeats the purpose?, What?, L8030, L8029,m7
 The mirror.  You can't see yourself in it., I don't want to., L8032, L8031,m7
 Yeah.  She'd be half as strict as you., But she wouldn't let Dad treat me like that., L8034, L8033,m7
 Rick...I can't., Never say can't.  Just do what I do., L8037, L8036,m7
" Alice, you think you can leave?", What's wrong?, L8095, L8094,m7
 Kincaid and Joey died last night., What?, L8097, L8096,m7
 You alright?, Kristen..., L8156, L8155,m7
 I heard you screaming.  Was it a bad one?, It was bad., L8197, L8196,m7
 Doesn't the dream master work for you anymore?, I can't find him., L8199, L8198,m7
" Hey, since when do you play Thomas Edison?  This looks like Sheila's."," It is...was. It's a zapper, it might help me stay awake.", L8201, L8200,m7
 I can't go back to sleep again., I haven't slept much either.  Since Kristen..., L8204, L8203,m7
 We'll figure it out., Figure it out?!?!  I'll be insane before I figure it out.  The only thing I'm sure of is that I can't go to sleep.  Not while he's using me., L8207, L8206,m7
 Here you are.  Where were you this morning?  Rick's looking all over for you.," Have you seen Joey and Kincaid!  God, I can't find them.  I can't find them anywhere.", L8049, L8048,m7
 I'm sure they're around.," Yeah, I'm not so sure.", L8051, L8050,m7
" I love to dream, I just hate ones about my dad.", You could do worse., L8053, L8052,m7
 My mom taught me when I was little.  Did you ever hear of the dream master?, Sounds like a game show host to me., L8055, L8054,m7
" No really, it's a fable.  The 'guardian of good' dreams.  It was like my teddy bear when I was growing up."," Great, you wouldn't happen to know his phone number?", L8057, L8056,m7
 I daydream.  you have to dream about some place fun.  Remember you're in control., How'd you learn so much about dreams?, L8059, L8058,m7
 You what?, When I used to have nightmares.  I brought my friends in to help me.  Until they all started dying., L8063, L8062,m7
" Kristen, what happened?"," You'll hear all kinds of stories. They'll tell you it was murder, but it wasn't.", L8101, L8100,m7
 You in a hurry?, I gotta get to the library before it closes.  Killer physics test., L8084, L8083,m7
 I know.  I hardly have any time to study., Maybe you shouldn't be working here so much.  You don't want to get stuck waiting tables for the rest of your life., L8086, L8085,m7
" Ohhhhbaby, I am dead on my feet.", We have matching luggage., L8174, L8173,m7
 You've been up all night?," That obvious, huh?", L8177, L8176,m7
" Then you saw him, too?"," Saw who? I was up all night cramming for this physics test, and I was putting this little baby together.  Look...", L8179, L8178,m7
 No...," You're his sister, right?", L8077, L8076,m7
 Rick stayed later after school with Kristen.  She wasn't feeling very well.," Tell him I was looking for him, okay?  I'm Dan.", L8079, L8078,m7
 I thought it was an accident.  Smoking in bed.," It was no suicide.  It was not an accident.  It was Freddy, and he's coming back for seconds, thirds, and fourths.", L8162, L8161,m7
 I was there in the dream.  He took her. It was awful.  It was awful...," ""In her dream""?", L8166, L8165,m7
" No, don't!  I gave Sheila to him and now she's dead!", Kristen's story really got to her., L8190, L8189,m7
 I've been working double shifts.," Extra money, huh?", L8211, L8210,m7
" No offense, or anything, but it's kind of hard to swallow."," The story is, the deaths you can't argue with.", L8214, L8213,m7
 How long have you been awake?, Three days., L8216, L8215,m7
" Alright, let's assume this whole thing is true. Why does Freddy all of a sudden need you?", Kristen was the last child left of the people who killed Freddy.  Maybe Freddy can't get to new kids without someone like me.  Someone to bring them to him., L8218, L8217,m7
 Not really., Is there something we can do?, L8247, L8246,m7
 You don't really get it.  He's not a nightstalker.  It'll take more than bench presses to beat him., Why can't we just talk to the authorities?, L8251, L8250,m7
" Yeah, right.  Let's trade death by Freddy for life in a rubber room.  Adults won't see it. They can't.", Then what else can we do?, L8253, L8252,m7
 Try what other kids did.  Keep each other awake.  We'll meet at Debbie's tonight. At least if we don't sleep he can't get us., Who?, L8255, L8254,m7
" He's going after Debbie, I gotta stop him."," Hey, you're not alone.  We have to stop him, I'm with you.", L8274, L8273,m7
 You just feel sorry for me.," Cut that shit out.  Maybe before, but not now. I want to help you. I'm on your side.", L8276, L8275,m7
 As long as your driving doesn't kill us.," It's okay, we're just about there.", L8278, L8277,m7
 He's going after Debbie.  I gotta stop him.," You know, I get the weirdest feeling we've been through this before.", L8288, L8287,m7
 Here we are., Something's wrong here.  It feels like..., L8290, L8289,m7
 What the hell was that?," Debbie.  She's gone.  I've...collected her, like the others.", L8295, L8294,m7
 You look great!, Save it for later.  Come on!, L8324, L8323,m7
" Rick, please."," Alright, I think I see salvation...", L7996, L7995,m7
 I think Sheila's more interested in dissecting bodies than just admiring them., Give her time.  Beauty is skin deep., L8092, L8091,m7
 Asthma attack...what 17-year old has a fatal asthma attack?  She was gonna be a doctor., It was Freddy., L8185, L8184,m7
 Enough of that crap., I saw it. It was my dream.  I brought Sheila in..., L8187, L8186,m7
 T-T-Thanks Alice..., Earth to Alice..., L7994, L7993,m7
" Hey, Rick!"," Excuse me, ladies.  I'll just be a moment.", L8099, L8098,m7
 I don't get it., Let me talk to you., L8120, L8119,m7
 So what's up?  What'd I miss?, She told us the story of Freddy.  It's a town legend.  He was a child killer who was freed on a technicality., L8122, L8121,m7
 So?," It pissed off a lot of parents. According to Kristen, they hunted him down", L8124, L8123,m7
 Nice neighborhood.," Now it gets weird.  She says he comes back in dreams.  If he kills you there, you're dead for real.", L8126, L8125,m7
" Hey man, we're all sorry...", She knew she was gonna die., L8159, L8158,m7
 Been up with Alice., How she doing?  I ran into her last night., L8226, L8225,m7
" She's blaming herself for Sheila.  I know how it feels.  I've been thinking about Kristen.  Maybe I could've stopped it, if I'd listened.", About Freddy?, L8228, L8227,m7
 Something the matter with the cuisine?," Well Mom, I'll tell ya, when two of your friends die the same day, you let me know what it does to your appetite.", L8135, L8134,m7
 What's wrong with me?, Your distraught.  It'll help..., L8138, L8137,m7
" I'm sorry honey, but..."," Sorry!! Sorry that you and your tennis pals torched this guy who's now after me. In case you haven't been keeping score, it's his fucking banquet, and I'm the LAST COURSE!!", L8141, L8140,m7
" Honey, we went over this in therapy."," Mother, you've just murdered me.  Take that to your goddamn therapy...", L8143, L8142,m7
 Something wrong with the stairs?, Avoid-all-contact-day., L7982, L7981,m7
 What?," When dad's popping aspiring like popcorn, it's avoid-all-contact-day.", L7984, L7983,m7
 What is it?, Oh God!  He killed them!, L8065, L8064,m7
 Now you know who and what Freddy really is., I though Freddy was just an old town story., L8105, L8104,m7
 I'll tell you later., It's no just a house. It's his home. He's waiting there for me...to dream., L8116, L8115,m7
" It's okay, babe.  We're with you.", I told you you can't help.  This isn't a normal nightmare. I'm doomed., L8118, L8117,m7
 Feeling better now?, Yeah.  I guess so... What happened?, L8067, L8066,m7
 I gotta get out of here., You just stay put.  You need rest., L8070, L8069,m7
" You don't get it, he's after me..."," Don't worry, honey", L8072, L8071,m7
" Excuse us, dear."," It's okay, Dan", L8420, L8419,m8
" Frankly, dear, we wondered what you intend to do with our baby?"," What I what?  Well, I've thought about it.  I plan to keep him.", L8718, L8717,m8
" Look, I appreciate what you're offering, but no.  He is my responsibility.", And ours.  It's our grandchild., L8722, L8721,m8
" In your present condition, Alice, we're worried about your ability --"," What are you talking about?  My ""condition""?...", L8725, L8724,m8
 We know you've been through a lot but there's more than your feelings at stake here., You're not taking my baby!, L8729, L8728,m8
 Hey...wake up., Huh?, L8536, L8535,m8
" Shouldn't you be in your room, Jacob?"," It's lonely in there, in my room.", L8539, L8538,m8
 I'm sorry your boyfriend got killed., How did you know that?, L8542, L8541,m8
" Hi, you don't look very well.  Are you feeling all right?", Been having bad dreams., L8645, L8644,m8
 Is that who you're waiting for?, No..., L8649, L8648,m8
 I don't think this is a nice place for you to be.  Maybe we should go find your Mom., She doesn't want me around, L8651, L8650,m8
 No you're not.  You don't even care about being a mom.  How come you don't think about me?," Who said I...wait, what?", L8654, L8653,m8
 Who says I don't like you?," My friend, with the funny hand.", L8657, L8656,m8
 Mommy...?, Come on downstairs.  He won't hurt you. He needs us both., L8793, L8792,m8
 Where is he?," He's inside you, where he hides.", L8802, L8801,m8
 What do you mean?, It's where he hides out.  Inside.  That's how he found me., L8804, L8803,m8
 But how...?, He says it's easy.  Especially with sad people.  With closed-off people., L8806, L8805,m8
" Hi, beautiful.", Jesus!  Don't do that!, L8396, L8395,m8
 The tickets.," They're coach seats, but the plane lands in Paris.  It's gonna be a helluva summer, hon!", L8401, L8400,m8
" Okay, babe.  What's the matter?", Nothing...it's just...I didn't see my father at the ceremony., L8404, L8403,m8
 About him?," No.  Well, not exactly...it's that...I felt like I wasn't in control.  For the first time since...all that.  I'm scared.", L8408, L8407,m8
 You stopped it didn't you?  It was probably just a regular bad dream., Yeah...I guess., L8410, L8409,m8
" You don't dream him up, he can't hurt you.  Or me.  Or us.  Remember...", You're right., L8412, L8411,m8
 There you go.  Love you., Me too., L8414, L8413,m8
 I was afraid you weren't coming.," I watched from behind the stands.  Didn't want to embarrass you, ya know.  ""The drunk showed up"", that kind of thing...", L8440, L8439,m8
 That's in the past.  Unless you've stopped going to the meetings., No.  A deal's a deal., L8442, L8441,m8
