 Aren't you glad we waited?, I don't know.  It probably would've been the same., L239784, L239783,m75
 Roy?  Your clock broke.," Nice going, honey.  It was brand new.", L239788, L239787,m75
 Now where are you going?," To the bathroom, where do you think?", L239791, L239790,m75
" Hey, sweetheart, will you CUT THAT OUT!!!", Uuuuuuugh!!, L239795, L239794,m75
 Is it a star?, It is a star!  That's great.  You're very good., L239546, L239545,m75
 Ready?  What is it?, Ummm -- figure eight?, L239551, L239550,m75
" Incredible!  Five for five.  You're not cheating on me here, are you?", No.  They're just coming to me., L239553, L239552,m75
" Well, I guess some people have it and some don't."," Do you think I have it, Dr. Venkman?", L239568, L239567,m75
 Okay.  Just give me a second here.  I have to leave now but if you've got some time I'd like you to come back this evening and do some more work with me., Eight o'clock?, L239576, L239575,m75
" Oh, Dana, it's you ..."," Hi, Louis.", L239668, L239667,m75
 ... I thought it was the drug store.," Are you sick, Louis?", L239670, L239669,m75
" Oh, no, I feel great.  I just ordered some more vitamins.  I see you were exercising. So was I.  I taped ""20 Minute Workout"" and played it back at high speed so it only took ten minutes and I got a really good workout. You wanna have a mineral water with me?"," No thanks, Louis.  I'm really tired.  I've been rehearsing all morning.", L239672, L239671,m75
" Okay.  I'll take a raincheck.  I always have plenty of mineral water and other nutritious health foods, but you know that.  Listen, that reminds me, I'm having a party for all my clients.  It's gonna be my fourth anniversary as an accountant.  I know you fill out your own tax return, but I'd like you to come being that you're my next door neighbor and all ..."," Oh, that's nice, Louis.  I'll stop by if I'm around.", L239674, L239673,m75
 You know you shouldn't leave your TV on so loud when you go out.  That creep down the hall phoned the manager., I thought I turned it off.  I guess I forgot., L239676, L239675,m75
" Oh, Dana, it's you."," Hi, Louis.", L240010, L240009,m75
" Hey, it's crazy in here.  You're missing a classic party."," Well, actually Louis I have a friend coming by.", L240012, L240011,m75
" Great!  Bring her, too.  But you better hurry.  I made nachos with non-fat cheese and they're almost gone.  I'll make some more though."," Fine, Louis.  We'll stop in for a drink.", L240014, L240013,m75
 Are you the Gatekeeper?, I am Zuul., L240220, L240219,m75
" Oh, sure.  I'm getting used to this."," I'm innocent!  Honest, Dana.  I never touched you.  Not that I remember anyway.", L240309, L240308,m75
 Hello.  I'm Peter Venkman.  May I help you?, Yes ... well ... I'm not sure.  What I have to say may sound a little ... unusual., L239709, L239708,m75
" We're all professionals here, Miss ...", Barrett.  Dana Barrett., L239711, L239710,m75
 ... and then I opened the door again but it was gone.  There was nothing there., So what do you think it was?, L239715, L239714,m75
 Why would anyone make up a thing like that?, Some people like the attention.  Some people are just crazy., L239720, L239719,m75
 Is that your professional opinion?, It's in the stars., L239728, L239727,m75
" No, just that one word -- Zuul -- but I have no idea what it means."," Spengler,  see if you can find the word ""Zuul"" in any of the literature.  I'll take Miss Barrett home and check out her apartment.", L239732, L239731,m75
 Have you ever thought of moving out -- at least until this disturbance blows over?, No.  If I moved out now I'd be acknowledging that what happened was real.  I'm not ready to do that., L239734, L239733,m75
 You play the cello!  It's my favorite instrument., Really?  Do you have a favorite piece?, L239736, L239735,m75
 I'd have to say Prokofiev's third concerto., That's a violin concerto., L239738, L239737,m75
 You really don't act like a scientist., No?  What do I act like?, L239741, L239740,m75
 Like a used car salesman., Thanks.  What's in there?, L239743, L239742,m75
 That's too bad., What?, L239746, L239745,m75
 Uh-huh.," Well, let's check it out.", L239749, L239748,m75
 You're quite a housekeeper.," I told you, I ...", L239752, L239751,m75
 Damn!, Are you all right?, L239756, L239755,m75
 There's nothing there now and I don't get any significant readings., This is terrible.  Either there's a monster in my kitchen or I'm completely crazy., L239759, L239758,m75
" If it's any comfort to you, I don't think you're crazy.", Thanks.  Coming from you that really means a lot to me., L239761, L239760,m75
 I'm a qualified psychologist.  I've got a degree and everything.  I believe that something happened here and I want to do something about it., All right.  What do you want to do?, L239763, L239762,m75
 I think I should spend the night here., That's it.  Get out., L239765, L239764,m75
 On a purely scientific basis., Out!, L239767, L239766,m75
 I want to help you., I'll scream., L239769, L239768,m75
 Don't scream., Then leave., L239771, L239770,m75
" Okay, okay.  But if anything else happens, you have to promise you'll call me.", All right., L239773, L239772,m75
 Okay.  Then I'll go., Goodbye., L239775, L239774,m75
 Great rehearsal., You heard it?, L239922, L239921,m75
 You're the best one in your row., Most people can't hear me with the whole orchestra playing.  You're good., L239924, L239923,m75
 I don't have to take abuse from you.  I have other people dying to give it to me., I know.  You're quite a celebrity these days.  Are you here because you have info ... about my case?, L239926, L239925,m75
 Who's the stiff?," The ""stiff?""  He happens to be one of the finest musicians in the world and a wonderful man.", L239928, L239927,m75
 He is a very close friend.  Do you have some explanation of what happened in my apartment?," Yes, but I have to tell you in private at a fine restaurant.", L239931, L239930,m75
 Can't you tell me now?," I'll cancel the reservation,  I found the name ""Zuul"" in ...  The Roylance Guide to Secret Societies and Sects.  I don't suppose you've  read it.", L239933, L239932,m75
 You must have gotten the last copy.," Well, the name Zuul refers to a demi-god worshipped around 6000 B.C. by the ... What's that say?", L239935, L239934,m75
