 SPACE STATTION 5 - LOUNGE," Well, how nice to see you again, Elena. You're looking wonderful.", L3713, L3712,m3
 CONTINUED," I'm afraid I've only got a few minutes, but I'd love to.", L3721, L3720,m3
 CONTINUED, She's wonderful., L3729, L3728,m3
 CONTINUED," Well, I suppose they've been having a bit of trouble with some of the equipment.", L3750, L3749,m3
 CONTINUED, How did they manage to do that without any communication?, L3757, L3756,m3
 CONTINUED," I'm sorry, Dr. Smyslov, but I'm really not at liberty to discuss this.", L3771, L3770,m3
 CONTINUED, We're trying to get there. I hope we can., L3778, L3777,m3
" Hi. Frank... coming in, please.", Right. Just a sec., L3943, L3942,m3
 Okay. ," Okay, come on down.", L3945, L3944,m3
" Dave, if you've a minute, I'd like your advice on something."," Sure, what is it?", L3964, L3963,m3
" Well, it's nothing really important, but it's annoying.", What's up?, L3966, L3965,m3
 It's about my salary cheques., Yes?, L3968, L3967,m3
" That's right. Well, naturally, I didn't say anything to Payroll. I assumed they'd start paying me at the higher grade on the next pay cheque. But it's been almost three weeks now and I'm still being paid as an AGS-18."," Interesting that you mention it, because I've got the same problem.", L3973, L3972,m3
 Really., Yes., L3975, L3974,m3
" Not really. They just said it might be because we trained at Houston and they trained in Marshall, and that we're being charged against differ- ent accounting offices.", It's possible., L3980, L3979,m3
" Well, what do you think we ought to do about it?", I don't think we should make any fuss about it yet. I'm sure they'll straighten it out., L3982, L3981,m3
" I must say, I never did understand why they split us into two groups for training."," No. I never did, either.", L3984, L3983,m3
 I suppose the idea was specialized training.," I suppose so. Though, of course, there's a more sinister explanation.", L3988, L3987,m3
 Oh?, Yes. You must have heard the rumour that went around during orbital check-out., L3990, L3989,m3
" No, as a matter of fact, I didn't."," Oh, well, apparently there's something about the mission that the sleeping beauties know that we don't know, and that's why we were trained separately and that's why they were put to sleep before they were even taken aboard.", L3992, L3991,m3
 I don't know. All I heard is that there's something about the mission we weren't told., That seems very unlikely., L3996, L3995,m3
" Yes, I thought so."," Of course, it would be very easy for us to find out now.", L3998, L3997,m3
 How?," Just ask Hal. It's conceivable they might keep something from us, but they'd never keep anything from Hal.", L4000, L3999,m3
" Not really. Though, it is strange when you think about it. It didn't really make any sense to keep us apart during training."," Yes, but it's to fantastic to think that they'd keep something from us.", L4012, L4011,m3
 I know. It would be almost inconceivable., But not completely inconceivable?, L4014, L4013,m3
 I suppose it isn't logically impossible., I guess it isn't., L4016, L4015,m3
" Well, that's something."," Yes, I don't know what to make of it.", L4160, L4159,m3
 I suppose computers have been known to be wrong.," Yes, but it's more likely that the tolerances on our testing gear are too low.", L4162, L4161,m3
 Good morning. How's it going?, Are you reasonably awake?, L4189, L4188,m3
" Oh, I'm fine, I'm wide awake. What's up?", Well... Hal's reported the AO-unit about to fail again., L4191, L4190,m3
 You're kidding., No., L4193, L4192,m3
 I don't know. Hal said he thought it might be the assembly procedure., Two units in four days. How many spares do we have?, L4197, L4196,m3
 Two more.," Well, I hope there's nothing wrong with the assembly on those. Other- wise we're out of business.", L4199, L4198,m3
 Hal?, Yes., L4209, L4208,m3
 It's the last one.," Well, now that we've got one that's actually failed, we should be able to figure out what's happened and fix it.", L4283, L4282,m3
 I didn't do that Frank. I took particular care not to freeze them.," I guess you don't know your own strength, old boy.", L4297, L4296,m3
 I guess not., I think I'll have to go out and burn them off., L4299, L4298,m3
" I'm sorry, Frank, but I don't think I can answer that question without knowing everything that all of you know.", He's got a point., L4007, L4006,m3
" Sorry to interrupt the festivities, Dave, but I think we've got a problem."," What is it, Hal?", L4069, L4068,m3
" The unit is still operational, Dave. but it will fail within seventy-two hours."," I understand Hal. We'll take care of it. Please, let me have the hard copy.", L4080, L4079,m3
" Not now, Hal, I'd like to talk to you about something."," Sure, Dave, what's up?", L4220, L4219,m3
 You know that we checked the two AO-units that you reported in imminent failure condition?," Yes, I know.", L4222, L4221,m3
 You probably also know that we found them okay.," Yes, I know that. But I can assure you that they were about to fail.", L4224, L4223,m3
" I'm not questioning your word, Dave, but it's just not possible. I'm not capable of being wrong."," Hal, is there anything bothering you?  Anything that might account for this problem?", L4228, L4227,m3
" Look, Dave, I know that you're sincere and that you're trying to do a competent job, and that you're trying to be helpful, but I can assure the problem is with the AO-units, and with your test gear."," Okay, Hal, well let's see the way things go from here on.", L4230, L4229,m3
" Naturally, Dave, I'm not pleased that the AO-unit has failed, but I hope at least this has restored your confidence in my integrity and reliability. I certainly wouldn't want to be disconnected, even temporarily, as I have never been disconnected in my entire service history."," I'm sorry about the misunderstanding, Hal.", L4266, L4265,m3
" Well, don't worry about it.", And don't you worry about it., L4268, L4267,m3
 Is your confidence in me fully restored?," Yes, it is, Hal.", L4270, L4269,m3
" Too bad about Frank, isn't it?"," Yes, it is.", L4334, L4333,m3
" I suppose it's because you've been under a lot of stress, but have you forgotten that they're not supposed to be revived for another three months.", The antenna has to be replaced., L4347, L4346,m3
 Repairing the antenna is a pretty dangerous operation.," It doesn't have to be, Hal. It's more dangerous to be out of touch with Earth. Let me have manual control, please.", L4349, L4348,m3
" If you're determined to revive the crew now, I can handle the whole thing myself. There's no need for you to trouble."," I'm goin to do this myself, Hal. Let me have the control, please.", L4354, L4353,m3
" Look, Dave your've probably got a lot to do. I suggest you leave it to me."," Hal, switch to manual hibernation control.", L4356, L4355,m3
" I can tell from the tone of your voice, Dave, that you're upset. Why don't you take a stress pill and get some rest."," Hal, I'm in command of this ship. I order you to release the manual hibernation control.", L4361, L4360,m3
" I'm sorry, Dave, but in accordance with sub-routine C1532/4, quote, When the crew are dead or incapacitated, the computer must assume control, unquote. I must, therefore, override your authority now since you are not in any condition to intel- ligently exercise it."," Hal, unless you follow my instructions, I shall be forced to disconnect you.", L4363, L4362,m3
 I am prepared to do that anyway.," I know that you've had that on your mind for some time now, Dave, but it would be a crying shame, since I am so much more capable of carrying out this mission than you are, and I have such enthusiasm and confi- dence in the mission.", L4367, L4366,m3
 CONTINUED," Yes, I remember you mentioning it. I got mine about the same time.", L3971, L3970,m3
 CONTINUED, Did they have any explanation for this?, L3978, L3977,m3
 CONTINUED," Well, what is it?", L3994, L3993,m3
 CONINUED," Well... it's silly, but... if you want to, why don't you?", L4003, L4002,m3
 CONTINUED," Still, you really don't believe it, do you?", L4010, L4009,m3
 CONTINUED," Well, the only important aspect of the mission are: where are we going, what will we do when we get there, when are we coming back, and... why are we going?", L4019, L4018,m3
" I'm at Space Station Five, darling. How are you?"," I'm fine, Daddy. When are you coming home?", L3669, L3668,m3
 I'm having a party tomorrow.," Yes, I know that sweetheart.", L3673, L3672,m3
 Are you coming to my party?," No, I'm sorry, darling, I told you I won't be home for a few days.", L3675, L3674,m3
 When are you coming home?," In three days, darling, I hope.", L3677, L3676,m3
" One, two, three. Can I speak to Mommy?", Mommy's out to the hair- dresser., L3680, L3679,m3
 Where is Mrs. Brown?, She's in the bathroom., L3682, L3681,m3
" Okay, sweetheart. Well, I have to go now. Tell Mommy that I called.", How many days until you come home?, L3684, L3683,m3
" Okay, sweetheart. Have a lovely Birthday Party tomorrow."," Thank you, Daddy.", L3689, L3688,m3
" I'll wish you a happy Birthday now and I'll see you soon. All right, Darling?"," Yes, Daddy.", L3691, L3690,m3
" 'Bye, 'bye, now, sweetheart."," Goodbye, Daddy.", L3693, L3692,m3
" Oh, thank you very much.", Thank you., L3798, L3797,m3
" Well, I've heard more and more people talk of an epidemic.", I suppose it was bound to happen sooner or later., L3806, L3805,m3
 Berkeley told me that they think it came from contamination on a returning Mars flight.," Yes, well, whatever it is, they're certainly not fooling around. This is the first flight they allowed in for more than a week.", L3808, L3807,m3
" I was working out what this trip must cost, taking him up there by himself and coming back empty.", I'll bet it's a fortune., L3810, L3809,m3
 And your charming little daughter?," Oh, she's growing up very fast. As a matter of fact, she's six tomorrow.", L3731, L3730,m3
" Oh, that's such a delightful age.", How is gregor?, L3733, L3732,m3
 He's fine. But I'm afraid we don't get a chance to see each other very much these days.," Well, where are all of you off to?", L3735, L3734,m3
 Clavius Control came on the air just long enough to transmit their refusal.," Well, that does sound very odd.", L3759, L3758,m3
 Are you sure you won't change your mind about a drink?," No, thank you... and I'm afraid now I really must be going.", L3775, L3774,m3
" Well, Gregor and I will look forward to seeing you.", Thank you. It's been a great pleasure to meet all of you... Dr. Smyslov., L3780, L3779,m3
" How do you do, Mr. Miller?"," I'm terribly sorry. I was just on my way down to meet you. I saw your ship dock and I knew I had plenty of time, and I was on my way out of the office when, suddenly, the phone rang.", L3623, L3622,m3
" Well, thank you very much for being so understanding."," Please, it really doesn't matter.", L3627, L3626,m3
 Well.. Did you have a pleaant flight?," Yes, very pleasant.", L3629, L3628,m3
" Well, shall we go through Documentation?", Fine., L3631, L3630,m3
" Yes, I think so. Just about then.", I suppose you saw the work on our new section while you were docking., L3652, L3651,m3
" Oh, I really don't have time for a drink. If it's all right I'll just sit for a minute and then I've got to be off.", Are you quite sure?, L3725, L3724,m3
" Well, as it happens, I'm on my way up to the moon"," Are you, by any chance, going up to your base at Clavius?", L3739, L3738,m3
" I'm sorry, but I'm not sure I know what you mean."," Well, it's just for the past two weeks there have been some extremely odd things happening at Clavius.", L3746, L3745,m3
 Really?," Yes. Well, for one thing, whenever you phone the base, all you can get is a recording which repeats that the phone lines are temporarily out of order.", L3748, L3747,m3
" Yes, well at first we thought that was the explanation, but it's been going on for the past ten days.", You mean you haven't been able to get anyone at the base for ten days?, L3752, L3751,m3
 That's right., I see., L3754, L3753,m3
" Yes, and I'm afaid there's going to be a bit of a row about it. Denying the men permission to land was a direct violation of the I.A.S. convention."," Yes... Well, I hope the crew got back safely.", L3761, L3760,m3
" Fortunately, they did."," Well, I'm glad about that.", L3763, L3762,m3
" Dr. Floyd, at the risk of pressing you on a point you seem reticent to discuss, may I ask you a straightforward question?", Certainly., L3767, L3766,m3
" This epidemic could easily spread to our base, Dr. Floyd. We should be given all the facts.", Dr. Smyslov... I'm not permitted to discuss this., L3773, L3772,m3
" Dr. Floyd, how long do you think this can be kept under wraps?", I'm afraid it can and it will be kept under wraps as long as it is deemed to be necessary by the Council. And of course you know that the Council has requested that formal security oaths are to be obtained in writing from every- one who had any knowledge of this event. There must be adequate time for a full study to be made of the situation before any con- sideration can be given to making a public announcement., L3869, L3868,m3
" Yes, it does. The sub-surface structure shows that it was deliberately buried about four million years ago.", How can you tell it was deliberately buried?, L3890, L3889,m3
 By the deformation between the mother rock and the fill., Any clue as to what it is?, L3892, L3891,m3
 But you don't have any idea as to what it is?," Tomb, shine, survey-marker spare part, take your choice.", L3897, L3896,m3
 Any ideas about the colour?," Well, not really. At first glance, black would suggest something sun-powered, but then why would anyone deliberately bury a sun- powered device?", L3905, L3904,m3
 Has it been exposed to any sun before now?," I don't think it has, but I'd like to check that. Simpson, what's the log on that?", L3907, L3906,m3
" Oh, marvellous. It's the first real sleep I've had for the past two days.", There's nothing like weightless sleep for a complete rest., L3818, L3817,m3
 When do we arrive at Clavius?, We're scheduled to dock in about seven hours. Is there anything we can do for you?, L3820, L3819,m3
 Thank you.," Incidentally, Dr. Floyd, I wonder if I can have a word with you about the security arrangements?", L3825, L3824,m3
 What do you mean?, Well... the crew is confined to the ship when we land at Clavius. We have to stay inside for the time it take to refit - about twenty-four hours. And then we're going to back empty., L3827, L3826,m3
 I see., I take it this is something to do with the trouble they're having up at Clavius?, L3829, L3828,m3
" Well, I'll tell you why I ask. You see, I've got a girl who works in the Auditing Department of the Territorial Administrator and I haven't been able to get her on the phone for the past week or so, and with all these stories one hears, I'm a little concerned about her."," I see. Well, I'm sorry about that. I wouldn't think there's any cause for alarm.", L3833, L3832,m3
" Well, fine. Thanks very much, anyway, and I hope you don't mind me asking?"," No, of course, Captain, I can understand your concern.", L3838, L3837,m3
" Right. Hal, tell me whether the following statements are true or false."," I will if I can, Frank.", L4021, L4020,m3
