 I never seen heat like this!  Not even in Las Minas!, The water's going putrid in the barrels., L2171, L2170,m1
" What are you listening to, chicken ass?"," Ah, leave him alone.  He's doing no harm.", L2174, L2173,m1
 He's the devil's child..., We'll all go crazy..., L2177, L2176,m1
 We should have seen land.," We left three weeks ago, Alonso. Can't be that near.", L2180, L2179,m1
 You say Asia can be found by sailing west?," Yes, your Eminence.  The voyage should not take more than six or seven weeks.", L1990, L1989,m1
" Unfortunately, Don Colon, that is precisely where our opinions differ...  Are you familiar with the work of Aristotle?  Erathostene?  Ptolemeus?"," I am, Your Eminence", L1992, L1991,m1
" Senor Colon, an experienced captain such as yourself will understand our concern with the crew.  I am not willing to have on my conscience the loss of men who would have relied upon our judgment."," Excellency, you are right.", L2006, L2005,m1
" Your Eminence, there is only one way to settle the matter.  And that is to make the journey.  I am ready to risk my life to prove it possible."," Your life, and that of others!", L2011, L2010,m1
" Trade, Your Excellency.  According to Marco Polo, the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.", Is that all that interests you? Gold?, L2015, L2014,m1
" If God intended our proximity to Asia, do you believe he would have waited for you to show it to the world?", Did He not choose a carpenter's son to reveal Himself to the world?, L2020, L2019,m1
 Don't you realize your words could be considered heretical?, Blind faith is what I consider heresy!, L2023, L2022,m1
 Asia can be found to the west -- and I will prove it., IF-GOD-WILLS-IT!, L2025, L2024,m1
" The State has some reason to be interested in this man's proposition, Your Eminence...", The Judgment is ours!, L2028, L2027,m1
 He is a mercenary!  Did he not already try to convince the King of Portugal of his absurd notions?," Indeed.  The world is full of mercenaries -- and states often make use of them, when it benefits them.  My only concern is the welfare and prosperity of Spain.", L2031, L2030,m1
" It won't be easy to get rid of your prophet now, Don Sanchez."," On the contrary, Your Eminence.  It seems to me the man is preparing his own cross.", L2275, L2274,m1
 You can see for yourself., What a tragedy... what a waste of a life..., L2523, L2522,m1
 I could be gone for years., I know., L1980, L1979,m1
 I haven't given you much of a life., Well... that's true.  I have a child by a man who won't marry me!  Who's always leaving..., L1982, L1981,m1
 Are we going to argue?, I'd love to argue with you sometimes.  But you're never here!, L1984, L1983,m1
 Perhaps I was never meant to live with a woman..., I find that hard to believe., L1986, L1985,m1
 She said yes., Thank God..., L2119, L2118,m1
 I'm not asking you to swear to anything., I don't want you to wait for me., L2122, L2121,m1
" Beatrix, I want to ask you something.", You don't usually ask., L2319, L2318,m1
 God... you're so beautiful!  I can't believe no other man has ever taken you away from me..., They tried... but I didn't let them., L2472, L2471,m1
 They took everything...," Not everything... Do you think I care?  I'm a free man again.  Riches don't make a man rich, they only make him busier...", L2474, L2473,m1
 Can't you stay with us a little?, I am busy inside., L2538, L2537,m1
" What is it, now?  Tell me...", I can't keep my eyes off you.  I would like to catch up with all the moments I didn't spend with you., L2540, L2539,m1
 I understand that you will soon be appointing Governors for the islands?  Is it not so?," Forgive me, Don Bobadilla -- those positions have already been taken.", L2291, L2290,m1
 May I ask by whom?, Bartolome and Giacomo Colon., L2293, L2292,m1
 Don Alonso de Bobadilla., Yes... I remember..., L2422, L2421,m1
 My letters of appointment., Appointment to what?, L2424, L2423,m1
 Viceroy of the West Indies., Congratulations.  Then I am free to search for the mainland., L2426, L2425,m1
 How far from here?, I am not a seaman.  But I heard it is no more than a week at sea.  I hope you are not too disappointed., L2430, L2429,m1
 How could I be?  The mainland has been found.  Exactly as I said it would., I am afraid this is not the worst news., L2432, L2431,m1
 I want to go with you!, There'll be a time., L2128, L2127,m1
 Do you swear on all the Holy Saints in heaven?," Yes... Yes, I do... On all of them!", L2131, L2130,m1
 I have to explore the mainland., This time with me!, L2440, L2439,m1
" How are you feeling, Fernando?", Not bad., L2485, L2484,m1
 Father..., There must be a passage to that other ocean., L2501, L2500,m1
 What are you listening to?," I am not listening, Father.  But I can't help hearing.", L2542, L2541,m1
 What does he say?, He asks when he can come to visit you.  He left his address., L2548, L2547,m1
" I want you to tell me everything you remember, Father.  From the beginning.  Everything.", Really?  God... I wouldn't know where to start... and yet..., L2551, L2550,m1
 No..., No?, L2104, L2103,m1
" I remind you, Senor Colon, that you are in no position to bargain with me.", I'm not bargaining!, L2107, L2106,m1
" And were you never ambitious, Excellency?  Or is ambition only a virtue among the nobles, a fault for the rest of us?"," If you won't accept our proposal, we'll simply find someone who will.", L2110, L2109,m1
" They don't see sin in their nakedness.  They live according to nature, in a never ending summer. The islands are covered with trees, filled with blossoms and fruits. And..."," Forgive me, Don Colon.  But what about gold?", L2282, L2281,m1
 You defend yourself admirably..., ... for a commoner?, L2287, L2286,m1
 But we do have a lack of notaries. You should contact my administration.," Don Bobadilla is already a judge, my Dear Don Cristobal.", L2296, L2295,m1
 You seem to have a special talent for making friends., What...?  Do I have so many already?, L2300, L2299,m1
 All I have to do is call the guards., Call them., L2464, L2463,m1
 I am not afraid of you.  You are nothing but a dreamer., Look out of that window., L2466, L2465,m1
 What do you see?," Roofs... towers, palaces... spires...", L2468, L2467,m1
 Say not here!  Cuba!, What is it?  A tribe?  An island?, L2238, L2237,m1
 You come!  You speak first!, Tell the Chief we thank him., L2249, L2248,m1
 Chief knows., Tell him his country is very beautiful.  Tell him we are leaving men here -- to build a fort., L2251, L2250,m1
 Chief says -- how many?, Thousands., L2254, L2253,m1
 To bring the word of God., Chief says -- he has a God., L2257, L2256,m1
 ... and also to bring medicine., Chief says..., L2259, L2258,m1
 We will work with his people.  We want peace.  Ask the Chief if he understands?, He understands., L2342, L2341,m1
" You have to find them, Utapan.  Look what they did!", You did the same to your God!, L2394, L2393,m1
" Utapan, won't you speak to me?  You used to know how to speak to me.", You never learned how to speak my language., L2410, L2409,m1
" Diego is a bright boy -- a pleasure to teach -- but so serious... Brothers should be raised together, Colon.  Even brothers from different mothers..."," Father, I am doing what I think is the best for him.  And he has the teacher I would have chosen for myself.", L1943, L1942,m1
 God... That's in a week!, That's what it says., L1948, L1947,m1
 How did you manage it?, With some difficulty.  I had to promise them you were not a total fool., L1950, L1949,m1
 Why do you wish to sail west?, To open a new route to Asia.  At the moment there are only two ways of reaching it..., L1952, L1951,m1
 How can you be so certain?  The Ocean is said to be infinite., Ignorance!  I believe the Indies are no more than 750 leagues west of the Canary Islands., L1958, L1957,m1
 How can you be so certain?," The calculations of Toscanelli Marin de Tyr, Esdras...", L1960, L1959,m1
 Esdras is a Jew., So was Christ!, L1962, L1961,m1
" Two minutes... and already you're a dead man.  Don't let passion overwhelm you, Colon."," I'll try to remember that, Marchena...", L1964, L1963,m1
 Father Marchena!, Passion is something one cannot control!, L1966, L1965,m1
 You get so carried away when you are being contradicted!, I've been contradicted all my life... Eternity!, L1968, L1967,m1
 You mustn't give way to despair. You must wait., Wait!  I've waited seven years already!  How much longer do you want me to wait?, L2038, L2037,m1
" If God intends you to go, then you will go.", Damn God!, L2040, L2039,m1
 Colon!, Damn all of you!  You all set up theories based on what?  You never leave the safety of your studies! Go out!  Find out what the world is about and then tell me something I can listen to!, L2042, L2041,m1
 All of them!  Just lies!, Colon!  Don't!, L2046, L2045,m1
" In Nomine Patris et Filius, et Spiritus Sancti."," Forgive me, Father.  For I have sinned.", L2133, L2132,m1
" I am listening, my son."," Father, I have betrayed my family. I betrayed my men.  And I betrayed you.", L2135, L2134,m1
 What are you saying?, I lied.  The journey will be longer than I said., L2137, L2136,m1
 How long?, I am not sure... It could be twice the distance., L2139, L2138,m1
 May God forgive you...!  You must tell them!  You must tell your men!," If I tell them, they won't follow me.  You know that I am right, Father.  You trust me...", L2141, L2140,m1
" My son, my son...  Your certitudes are sometimes frightening...  Christopher, you must speak to them. And if you don't I will."," You are bound by an oath, Father.", L2143, L2142,m1
 I believed in you..., Give me absolution., L2145, L2144,m1
 I suppose we're both old men now.," You'll always be older than me, Father.", L2526, L2525,m1
 I have to disagree., I knew you would., L2532, L2531,m1
 New worlds create new people., Oh?  So you are a new man?, L2534, L2533,m1
" I should not even be listening to you, since my council said no.  But Santangel tells me you are a man of honor and sincerity... And Sanchez, that you are not a fool.", No more than the woman who said she would take Granada from the Moors., L2072, L2071,m1
 The ocean is uncrossable?, What did they say about Granada before today?, L2074, L2073,m1
 I cannot ignore the verdict of my council., Surely you can do anything you want., L2077, L2076,m1
 May I speak freely?, You show no inclination to speak otherwise!, L2080, L2079,m1
" I know what I see.  I see someone who doesn't accept the world as it is.  Who's not afraid.  I see a women who thinks... ""What if?""...", A woman?, L2082, L2081,m1
" How old are you, Senor Colon?"," Thirty seven, Your Majesty... And you?", L2086, L2085,m1
 Do they have such thoughts?, They come and go as naked as the day God created them..., L2280, L2279,m1
 But without your brothers.  Nor are you to return to Santo Domingo or any of the other colonies.  You may explore the continent., Thank you., L2457, L2456,m1
" There is one thing I'd like to understand... Why do you want to go back, after all this?", Your Majesty -- some men are content to read about things.  I must see them with my own eyes.  I cannot be other than I am., L2459, L2458,m1
 And you say this is an Indian vice? By God!  I don't see any kind of pleasure that would make this a sin.," The Indians have no such word, Don Moxica.", L2278, L2277,m1
" We lost cousins, friends.  We will wash this in blood."," If you want to keep your head on your shoulders, you'll do as I say.", L2329, L2328,m1
 You want a war?  Fine.  We are a thousand.  They outnumber us by ten! Who will you kill?  Which tribe?, We don't need to know., L2332, L2331,m1
 We can't raise the wheel without it., My horse doesn't work., L2346, L2345,m1
 Don Moxica -- we all have to work.," You did not hear me, Don Colon.  Not my horse.", L2348, L2347,m1
" In one act of brutality, you have created chaos.  Tribes who were fighting each other are now joining forces against us!  All that because of your criminal savagery!", Savagery is what monkeys understand., L2387, L2386,m1
" You'll be held in detention, deprived of your privileges and possessions.  Until you are returned to Spain where you will be judged. Have you anything to say?", You will regret this., L2389, L2388,m1
" Due west, Captain Mendez.  And may God be with us...", God be with us admiral., L2155, L2154,m1
" Well... It's the men, Sir.  They wonder how you know our position. We've lost sight from land days ago...", And what do you think Mendez?, L2158, L2157,m1
" Well, I surely know what a quadrant is!  But I've never seen it used at night before.", Come over here., L2160, L2159,m1
 What do you read?, Twenty eight., L2165, L2164,m1
 What's he doing?, He's drawing an isthmus... He's saying we're on an isthmus., L2491, L2490,m1
 Where can I meet this man?, Immediately., L2065, L2064,m1
 You lied!  You cheated!  We're way past 750 leagues!," Six days ago, yes.", L2197, L2196,m1
 You must be mad...!, We have to keep the hopes of these men alive!, L2199, L2198,m1
" We're on the verge of a mutiny, Colon!", You think I don't know that?, L2201, L2200,m1
 We're lost!, The land is there.  I know it!, L2203, L2202,m1
" You don't know anything!  Listen Colon, these are my ships, right? So I'm telling you we're turning back!"," And then what?  Half of the water has gone, the rest is nearly putrid! You know that!", L2205, L2204,m1
 Jesus Maria!  I should have never listened to you!," You never did.  You did all the talking for both of us, remember?", L2207, L2206,m1
 You bloody...," Pinzon, Pinzon... All we can do now is go forward!  Think about that!", L2209, L2208,m1
 You tell that to them!, You're right.  Let the men decide., L2211, L2210,m1
" Is that the man I knew, Treasurer Sanchez?"," Yes, Your Majesty.", L1931, L1930,m1
" You were right, Don Sanchez... His demands could never be granted."," Never, Your Majesty.  Although...", L2113, L2112,m1
 ... Into a monk...," Yes.  It would be a pity, wouldn't it?  Call him back!", L2116, L2115,m1
" Every ship returns with a cargo of sick and dying.  But with no gold! The new world proves expensive, Your Majesty."," We weren't expecting immediate profits, were we?  We must have faith.  We must give time for time.", L2377, L2376,m1
 ... But there is worse.  He ordered the execution of five members of the nobility...," Is this true, Brother Buyl?", L2415, L2414,m1
" Then, what do you suggest, Don Sanchez?", He must be replaced., L2418, L2417,m1
" I know, I should not tolerate his impertinence.", Then why?, L2461, L2460,m1
" Good day to you, young sir.", Good morning., L64602, L64601,m28
 Where are you bound for?, That is none of your business., L64604, L64603,m28
 Is your mother not afraid on account of the highwayman to let one so young as you travel?," Not at all, sir.  I have a pair of good pistols that have already done execution, and are ready to do it again.", L64606, L64605,m28
" And, I'll tell you what, Mr. Dugan, I've been insulted grossly in this house.  I ain't at all satisfied with these here ways of going on. I'm an Englishman, I am, and a man of property"," If you're insulted, and not satisfied, remember there's two of us, Best.", L64524, L64523,m28
 Both of us ride home with Best here.," I'm not afraid of highwaymen.  My man is armed, and so am I.", L64529, L64528,m28
" There's nothing else for it.  Take your ground, Grogan -- twelve paces, I suppose?"," Ten, sir, and make them short ones, do you hear, Captain Grogan?", L64574, L64573,m28
" Hoity-toity!  John Best, what's the matter here?"," I'll tell you what it is, Mr. Dugan. I have had enough of Miss Dugan here and your Irish ways.  I ain't used to 'em, sir.", L64497, L64496,m28
" Well, well!  What is it?  We'll make you used to our ways, or adopt English ones."," It's not the English way, for ladies to have two lovers, and, so, Mr. Dugan, I'll thank you to pay me the sum you owe me, and I resign all claims to this young lady.  If she has a fancy for school-boys, let her take 'em, sir.", L64499, L64498,m28
" Pooh!  Pooh!  Best, you are joking.", I never was more in earnest., L64501, L64500,m28
" My companion treated me with great civility, and asked me a thousand questions about England, which I answered as best I might.  But this best, I am bound to say, was bad enough.  I knew nothing about England, and I invented a thousand stories which I told him", What is your uncle's name?, L64724, L64723,m28
 O'Grady.," Oh, yes, of course, Ambassador O'Grady...", L64726, L64725,m28
 This is a very good inn.  Shall we stop for dinner?," This may be a very good inn for Germany, but it would not pass in old Ireland.  Corbach is only a league off, let us push on for Corbach.", L64729, L64728,m28
" Ah!  You sly rogue, I see that will influence you.", The place seems more a farm than an inn-yard., L64732, L64731,m28
 Where's the beauty you promised me?," It was my joke.  I was tired, and did not care to go farther.  There's not prettier woman here than that. If she won't suit your fancy, my friend, then you must wait awhile.", L64737, L64736,m28
" Upon my word, sir, I think you have acted very coolly.", I have acted as I think fit., L64739, L64738,m28
" Sir, I'm a British officer."," It's a lie!  You're a deserter! You're an impostor, sir", L64741, L64740,m28
" Good morning, Private James.  Please come in.  I should like you to meet my uncle, Herr Minister of Police Galgenstein."," How do you do, sir?", L64760, L64759,m28
" The captain was the nephew and heir of the Minister of Police, Herr Galgenstein, a relationship which, no doubt, aided in the younger gentlemen's promotion.", Your loyalty to me and your service to the regiment has pleased me very well -- and now there is another occasion on which you may make yourself useful to us, L64762, L64761,m28
" What is the service, sir?"," There is lately come to Berlin a gentleman in the service of the Empress Queen, who calls himself the Chevalier de Belle Fast, and wears the red riband and star of the pope's order of the Spur.  He is made for good society, polished, obliging, a libertine, without prejudices, fond of women, of good food, of high play, prudent and discreet.", L64764, L64763,m28
 You are a Hungarian," Only a very little, as soldiers do.", L64768, L64767,m28
 What are the Chevalier's intentions?," I am not sure.  The Prince told him quite clearly that if he wished to have the money, he would have to fight for it.", L64808, L64807,m28
 Has he sent the challenge yet?," Not yet, but I believe he intends to.", L64823, L64822,m28
" You say he drives after breakfast and before dinner.  When he comes out to his carriage a couple of gendarmes will mount the box, and the coachman will get his orders to move on.", And his baggage?, L64827, L64826,m28
 This is a pretty way to recommend yourself to the family., The man that marries Dorothy Dugan must first kill me -- do you mind that?, L64506, L64505,m28
" Dorothy might love me or not, as she likes, but Best will have to fight me before he marries her!"," Faith, I think you are a lad that's likely to keep your word.", L64510, L64509,m28
" A pretty day's work of it you have made, Master Roderick.  Knowing your uncle to be distressed for money, and try and break off a match which will bring fifteen hundred a-year into the family?  Best has promised to pay off the four thousand pounds which is bothering your uncle so. He takes a girl without a penny -- a girl that has been flinging herself at the head of every man in these parts these ten years past, and missing them all, and a boy who ought to be attached to your uncle as to your father.", And so I am., L64535, L64534,m28
" And this is the return you make for his kindness!  Didn't he harbor you in his house when your father died, and hasn't he given you and your mother, rent-free, your fine house of Jamesville yonder?"," Mark this, come what will of it, I swear I will fight the man who pretends to the hand of Dorothy Dugan.  I'll follow him if it's into the church, and meet him there. I'll have his blood, or he shall have mine.  Will you take my message to him, and arrange the meeting?", L64537, L64536,m28
" Well, if it must be, it must.  For a young fellow, you are the most bloodthirsty I ever saw.  No officer, bearing His Majesty's commission, can receive a glass of wine on his nose, without resenting it -- fight you must, and Best is a huge, strong fellow.", He'll give the better mark.  I am not afraid of him., L64539, L64538,m28
 Have you taken my message to him?, The meeting is arranged.  Captain Best is waiting for you now., L64550, L64549,m28
 My mare is saddled and ready, Your cousins go out with him., L64552, L64551,m28
 That's a very handsome sword you have there.," It was with this sword that my late father, Harry James, God rest his soul, met Sir Huddelstone Fuddelstone, the Hampshire baronet, and was fatally run through the neck.  He was quite in the wrong, having insulted Lady Fuddelstone, when in liquor, at the Brentford Assembly.  But, like a gentleman, he scorned to apologize.", L64555, L64554,m28
" And now you risk the same fate.  If you are killed, your mother is all alone in the world."," I am Harry James' son, and will act as becomes my name and quality.", L64557, L64556,m28
" I hope to spoil this sport, and trust to see this sword of mine in that big bully's body."," Oh, it's with pistols we fight.  You are no match for Best with the sword.", L64559, L64558,m28
 I'll match any man with the sword., But swords are today impossible, L64561, L64560,m28
" Not against Castle Dugan gate, that has been off the hinges these ten years.", It must have been some other gate., L64563, L64562,m28
" Look here, Roderick, my boy"," A man of honor dies, but never apologizes.  I'll see the captain hanged before I apologize.", L64572, L64571,m28
" Grogan gave me a wink of recognition, but offered no public token of acquaintance and it was not until two days afterwards that he called me into his quarters, and then, shaking hands with me cordially, gave me news which I wanted, of my family."," I had news of you in Dublin.  Faith, you've begun early, like your father's son, but I think you could not do better than as you have done. But why did you not write home to your poor mother?  She has sent half-a-dozen letters to you in Dublin.", L64681, L64680,m28
" I suppose she addressed them to me in my real name, by which I never thought to ask for them at the post office."," We must write to her today, and you can tell her that you are safe and married to ""Brown Bess.""", L64683, L64682,m28
 I see you are thinking of a certain young lady at Duganstown., Is Miss Dugan well?, L64685, L64684,m28
 There's only six Miss Dugans now... poor Dorothy., Good heavens!  Whatever?  Has she died of grief?, L64687, L64686,m28
 She took on so at your going away that she was obliged to console herself with a husband.  She is now Mrs. John Best., Mrs. John Best!  Was there another Mr. John Best?!, L64689, L64688,m28
" No, the very same one, my boy.  He recovered from his wound.  The ball you hit him with was not likely to hurt him.  It was only made of tow. Do you think the Dugans would let you kill fifteen hundred a-year out of the family?  The plan of the duel was all arranged in order to get you out of the way, for the cowardly Englishman could never be brought to marry from fear of you.  But hit him you certainly did, Roderick, and with a fine thick plugget of tow, and the fellow was so frightened that he was an hour in coming to. We told your mother the story afterwards, and a pretty scene she made.", The coward!, L64691, L64690,m28
" Mr. O'Higgins, I cannot say how grateful I am for your timely assistance to my wife.", I am only sorry that I was unable to prevent the villain from carrying off all her ladyship's money and pearls., L64634, L64633,m28
" Mr. O'Higgins, we are in your debt, and rest assured, sir, you have friends in this house whenever you are in Dublin.  Mister O'Higgins, I wonder if I know your good father?", Which O'Higgins do you know?  For I have never heard your name mentioned in my family., L64636, L64635,m28
" Oh, I am thinking of the O'Higgins of Redmondstown.  General O'Higgins was a close friend of my wife's dear father, Colonel Granby Somerset."," Ah -- I see.  No, I'm afraid mine are the O'Higgins of Watertown.", L64638, L64637,m28
" Whom have I been harboring in my house?  Who are you, sirrah?"," Sirrah!  Sirrah, I am as good a gentleman as any in Ireland!", L64658, L64657,m28
